Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
6.212092817685293e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4999740656368003e-16,8.05205384153299e-19,2.5488722308754094e-29,8.0520538415359916e-19,1.8423146368786545e-29,5.5286588778047936e-30,4.5733553986184386e-57,3.4083110092692537e-49,1.9134383169395536e-59,1.0729612006797874e-86,1.7784812767769669e-89,7.3052443853247957e-98,6.9574035373113946e-100,1.5681951382828877e-100,1.7058735276046425e-67,7.0850581718911575e-69,1.3805743038469197e-96,5.3789857712153427e-88,8.5584958390785567e-85,4.4836765577387736e-98
1.739385988951882e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.9999273837822116e-16,2.2545750756700415e-18,1.5395188274486123e-28,2.2545750756718546e-18,1.1127580406915124e-28,3.3393099622457254e-29,1.4379361104368075e-55,4.0463468429218868e-48,4.280284990312404e-58,1.2132587739057036e-84,1.3723558330125165e-87,1.0219740965371978e-95,9.73313357774015e-98,2.1938432804556181e-98,9.8249582184155669e-66,4.0806307498720172e-67,2.8137029830927569e-94,5.6302269218203375e-86,8.9582447911448712e-83,8.4924158841110183e-96
3.9757394033185875e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5999834020069724e-15,5.1533144588667448e-18,7.4121204473836676e-28,5.1533144588754754e-18,5.3574509642952064e-28,1.6077340017430811e-28,3.2079563587697626e-54,3.9727273503971205e-47,8.4571219038259493e-57,1.0977820956199338e-82,1.4956605159649086e-85,2.2218871628533031e-93,2.1160971158287526e-95,4.7696719562474894e-96,4.4059236467928501e-64,1.8299261008431607e-65,5.0933168381726446e-92,5.0577193039347891e-84,8.0473286086601289e-81,1.5262103883583867e-93
8.448446232052e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3999647292631492e-15,1.0950793225913022e-17,3.2370677332096763e-27,1.0950793225951154e-17,2.339739589096374e-27,7.0213967756123772e-28,6.0081472178151225e-53,3.5138323967427219e-46,1.5048996752269675e-55,8.3173649159244924e-81,1.2235431636084121e-83,3.6407680015160492e-91,3.4674340088741181e-93,7.8155783117377785e-94,1.6576185915365402e-62,6.8846393283707633e-64,7.7246047934681534e-90,3.8138936041496546e-82,6.0682792686395233e-79,2.3042047052592958e-91
1.739385988951882e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999301,6.9999273837702004e-15,2.254575076261707e-17,1.3514120568082575e-26,2.2545750762776266e-17,9.7679522070749788e-27,2.9312949377323617e-27,1.0377580160927352e-51,2.9535879293904043e-45,2.5382333259466509e-54,5.7822693624838996e-79,8.8059289488531897e-82,5.2449612237574356e-89,4.9952897787101186e-91,1.1259357299148184e-91,5.7398068857787574e-61,2.3839320069328227e-62,1.0745528980066267e-87,2.644373238873885e-80,4.2074569901799956e-77,3.1971305810668737e-89
3.528468720445247e-17,0.1122453720000008,0.0,0.0,0.0,0.0,0.99999999999998579,1.4199852692763099e-14,4.5735665846471111e-17,5.5209592069494146e-26,4.5735665847121472e-17,3.990527198049527e-26,1.1975296281778504e-26,1.7242504523741528e-50,2.4215299567994566e-44,4.1690560663402368e-53,3.8552532953477936e-77,5.968945293445741e-80,7.1133992427989313e-87,6.7748861470283549e-89,1.5270558290425046e-89,1.9096698918972842e-59,7.9314918708007837e-61,1.4332466036016878e-85,1.7606652950755717e-78,2.8013903439268678e-75,4.258686635114515e-87
7.106634183431976e-17,0.1122453720000016,0.0,0.0,0.0,0.0,0.99999999999997147,2.8599703310664073e-14,9.2115496055963024e-17,2.2316599839853755e-25,9.211549605859189e-17,1.6130348973225621e-25,4.8406062281605034e-26,2.8109633754530767e-49,1.961017942281771e-43,6.7582202102591045e-52,2.5180897183497038e-75,3.9302214988424764e-78,9.3693507098113637e-85,8.9237446673022906e-87,2.0114074255866159e-87,6.2303080262098117e-58,2.5876533644007162e-59,1.8725111875970776e-83,1.149188609846031e-76,1.8284703398815088e-73,5.5601503263609348e-85
1.4262965109405435e-16,0.11224537200000326,0.0,0.0,0.0,0.0,0.99999999999994205,5.7399404546126695e-14,1.8487515664208201e-16,8.9734066435796174e-25,1.8487515665265252e-16,6.4859423849600336e-25,1.9463864766354398e-25,4.5397132297776187e-48,1.5783981679935831e-42,1.0883907461984802e-50,1.6280135286878776e-73,2.5511402191222799e-76,1.2164081126055056e-82,1.158624192462185e-84,2.6115329262843668e-85,2.0130134066203029e-56,8.3607116040237966e-58,2.421414187073387e-81,7.4272120455518184e-75,1.1817401669628042e-71,7.1876043747586172e-83
2.8575626961352355e-16,0.11224537200000652,0.0,0.0,0.0,0.0,0.9999999999998842,1.1499880701569473e-13,3.7039447848286095e-16,3.598737409453819e-24,3.703944785252535e-16,2.601152992588751e-24,7.8058803303935942e-25,7.2974560113660303e-47,1.2665656446895325e-41,1.7471088825491589e-49,1.0472211142559518e-71,1.64427670738919e-74,1.5679158417177213e-80,1.4936103605091564e-82,3.3665900088534384e-83,6.4727207405280041e-55,2.6883353150228561e-56,3.1152540418328113e-79,4.7767273562781743e-73,7.6002129677981833e-70,9.245595791150235e-81
5.720095066524619e-16,0.112245372000013,0.0,0.0,0.0,0.0,0.99999999999976852,2.3019761194940205e-13,7.4143312483858272e-16,1.4413720552126837e-23,7.4143312500837398e-16,1.0418179555230072e-23,3.1264236709010887e-24,1.1703131759724636e-45,1.014794623154774e-40,2.7999319327923137e-48,6.719206257990255e-70,1.0560466611619958e-72,2.0135874299592743e-78,1.9186140136593012e-80,4.3245460285481517e-81,2.0762569121063987e-53,8.6233823105163645e-55,3.9976991944525601e-77,3.0645958816653074e-71,4.8760347323048735e-68,1.1863551653752439e-78
