Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51)
5.415576964037007e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268627166945e-16,7.0196177966240773e-19,1.9371428954653337e-29,7.0196177966263585e-19,1.4001591240249689e-29,4.2017807471230161e-30,2.6415700784950339e-57,2.2581854546027962e-49,1.1052019715967702e-59,4.3637204863197943e-87,7.8071059757058143e-90,2.7956472972734778e-98,2.6625315762584432e-100,6.0013323232254663e-101
1.516361549930362e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952156061173e-16,1.9654929830857533e-18,1.1700343088609732e-28,1.9654929830871315e-18,8.4569611092221579e-29,2.5378755712965113e-29,8.3055189753385273e-56,2.6809177790500285e-48,2.472292608854258e-58,4.9634172099175901e-85,6.0243127440897702e-88,3.9109977313593836e-96,3.724776827783651e-98,8.3956277282982754e-99
3.4659692569836846e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331921382442e-15,4.49255539005649e-18,5.6332115400118553e-28,4.4925553900631252e-18,4.0716627328316278e-28,1.2218778413146862e-28,1.8529155934780481e-54,2.632140987829707e-47,4.8848336046855712e-57,4.4933627549367233e-83,6.5655907107095592e-86,8.5029529945470401e-94,8.0981006178699121e-96,1.8253076915608534e-96
7.365184671090329e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.9640205332925018e-15,9.5466802044941452e-18,2.46017147723959e-27,9.5466802045231266e-18,1.7782020876842954e-27,5.3362615493764674e-28,3.4703058354652052e-53,2.3280989216919628e-46,8.6923004978912977e-56,3.4055691281126264e-81,5.371060843688814e-84,1.3932882983866471e-91,1.3269537249586625e-93,2.9909468289892113e-94
1.516361549930362e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.1023952155969886e-15,1.9654929835354193e-17,1.0270731631744724e-26,1.9654929835475181e-17,7.4236436771336478e-27,2.227784152601835e-27,5.9940903094528407e-52,1.9569074658569649e-45,1.4660835599849212e-54,2.3680216581164101e-79,3.8655914739250391e-82,2.0072001342968661e-89,1.9116494699246849e-91,4.308848008133454e-92
3.07604771557302e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.2379144580189842e-14,3.9871429105013196e-17,4.1959289972831606e-26,3.9871429105507467e-17,3.0328006703181371e-26,9.1012251735387243e-27,9.9592706411965346e-51,1.6043910435119486e-44,2.4080467536977153e-53,1.5790046872102128e-77,2.6202237390772724e-80,2.7222399478080446e-87,2.5926839300209935e-89,5.8438961518196665e-90
6.195420046858336e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643309311088e-14,8.0304427676086916e-17,1.6960615878301849e-25,8.0304427678084841e-17,1.2259065218035839e-25,3.6788607329056059e-26,1.6236124548890825e-49,1.2992775797005432e-43,3.9035478948443059e-52,1.031391414374132e-75,1.7252729254637655e-78,3.5855877849817862e-85,3.4150314818036957e-87,7.6974632710377007e-88
1.243416470942897e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640767295684e-14,1.6117042494525708e-16,6.8197890491309692e-25,1.6117042495329069e-16,4.9293162112692205e-25,1.4792537218434085e-25,2.6221383913330881e-48,1.0457718174989691e-42,6.2865446314499348e-51,6.6683941959631313e-74,1.1198893452282047e-76,4.6551476794215147e-83,4.4339436736450306e-85,9.9940860670972777e-86
2.4911654034570234e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363568223344e-13,3.2290241999168865e-16,2.7350404311932963e-24,3.2290242002390701e-16,1.9768762733239576e-24,5.93246904789319e-25,4.2150106880283462e-47,8.391663228620403e-42,1.009129988117118e-49,4.2895043845688077e-72,7.2179803289663157e-75,6.0004453431291194e-81,5.7159036959840666e-83,1.288361730038952e-83
4.986663268485276e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550798294e-13,6.4636641211691607e-16,1.0954427619683633e-23,6.4636641224595745e-16,7.917816453614206e-24,2.3760819873161693e-24,6.7597292119176319e-46,6.723547148717929e-41,1.6172403557702439e-48,2.7522597400089275e-70,4.6357916596621725e-73,7.7062729102549334e-79,7.3423521527511602e-81,1.6549623653783664e-81
