Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
6.086583055254872e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4494643324005262e-16,7.8893693172666847e-19,2.4469173416403984e-29,7.8893693172695679e-19,1.7686220514029486e-29,5.3075125226908856e-30,4.2148043354078819e-57,3.2058711771270112e-49,1.7634247528242335e-59,9.4928740097933531e-87,1.5734864110862221e-89,6.3326294136459439e-98,6.0310997209643832e-100,1.3594067399132953e-100,1.5403695053020411e-67,6.3976651109857217e-69,1.1967656115335374e-96,4.758982357947532e-88,7.5720093747690966e-85
1.7042432554713642e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.8585001307206782e-16,2.2090234088738436e-18,1.4779380743506734e-28,2.209023408875585e-18,1.068247719063188e-28,3.2057375637538583e-29,1.3252019194022017e-55,3.8060102732055713e-48,3.9447106466821647e-58,1.0734137145253898e-84,1.2141726103576126e-87,8.8590921668956892e-96,8.4372710144914582e-98,1.9017565281201138e-98,8.8717397777333735e-66,3.6847275415640426e-67,2.4390885452889075e-94,4.9812644437438244e-86,7.9256816636641742e-83
3.895413155363118e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5676571727357799e-15,5.0491963633248826e-18,7.1156356294883747e-28,5.0491963633332658e-18,5.1431529257168828e-28,1.5434246416713565e-28,2.9564525803482022e-54,3.7367634790734816e-47,7.7940835448150353e-57,9.7124734000358898e-83,1.3232647023844438e-85,1.9260668111852321e-93,1.8343614332625381e-95,4.1346411846672947e-96,3.9784604887506197e-64,1.6523864853922774e-65,4.4151962132305646e-92,4.4747463415162441e-84,7.1197613241340709e-81
8.277752955146627e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3312714920619321e-15,1.0729542272853721e-17,3.1075850238813371e-27,1.0729542272890327e-17,2.2461500055267571e-27,6.740540904570178e-28,5.5371084763371304e-53,3.3051250212330412e-46,1.3869155400299606e-55,7.3586721638377756e-81,1.0825126845826762e-83,3.1560391794551762e-91,3.0057822824536799e-93,6.7750177094836612e-94,1.4967962681056424e-62,6.2166909244603014e-64,6.6961563375977719e-90,3.3742889644003642e-82,5.368825127352639e-79
1.7042432554713643e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.858500130709147e-15,2.2090234094418428e-17,1.297355574535967e-26,2.2090234094571257e-17,9.3772341187435449e-27,2.8140431402081883e-27,9.5639778776911779e-52,2.7781567987813222e-45,2.3392358309090791e-54,5.1157818631940196e-79,7.790922356929454e-82,4.5466521297295847e-89,4.3302204097519123e-91,9.7602943848045601e-92,5.182930241461554e-61,2.152642682729513e-62,9.3148767960221416e-88,2.3395721913374458e-80,3.7224886681250745e-77
3.457179175384768e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998612,1.3912957407983219e-14,4.4811617747575952e-17,5.3001208386717591e-26,4.4811617748200298e-17,3.830906110087837e-26,1.1496284430385368e-26,1.5890692173673152e-50,2.2777009071005837e-44,3.8422020631411752e-53,3.4108813747690213e-77,5.2809407862992586e-80,6.1663299484955195e-87,5.8728825704876017e-89,1.3237446900175702e-89,1.7243935261716413e-59,7.1619777294091721e-61,1.2424251559800285e-85,1.5577239562652102e-78,2.4784908879376906e-75
6.963051015211574e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.99999999999997191,2.8021871962449928e-14,9.0254385094003475e-17,2.1423935846262192e-25,9.0254385096527189e-17,1.5485135013975021e-25,4.6469819789352836e-26,2.5905838483159827e-49,1.8445414330681274e-43,6.2283757209845203e-52,2.2278446188005979e-75,3.4772084520609958e-78,8.121931639718254e-85,7.7356435831425419e-87,1.7436100566654257e-87,5.6258429140303132e-58,2.3365989748531246e-59,1.6232063584828614e-83,1.0167285151927888e-76,1.6177135354252894e-73
1.3974794694865188e-16,0.11224537200000319,0.0,0.0,0.0,0.0,0.99999999999994327,5.6239701071057598e-14,1.8113991994730827e-16,8.614470377838514e-25,1.8113991995745593e-16,6.2265046893027992e-25,1.8685310174905007e-25,4.1837997174044352e-48,1.4846477148013032e-42,1.0030609036864944e-50,1.4403621691950588e-73,2.2570855981130522e-76,1.0544589096307492e-82,1.0043657840957385e-84,2.2638352731892649e-85,1.8177106441927678e-56,7.5495545294948007e-58,2.099028789366657e-81,6.5711216333471841e-75,1.0455280693915459e-71
2.7998282054172415e-16,0.1122453720000064,0.0,0.0,0.0,0.0,0.99999999999988642,1.1267535928697004e-13,3.6291099029571721e-16,3.4547879130773366e-24,3.6291099033641401e-16,2.4971068726775038e-24,7.4936451165397397e-25,6.7253354756420297e-47,1.1913367695167758e-41,1.6101355204011027e-49,9.2651420926984709e-72,1.4547508036552074e-74,1.3591711197238699e-80,1.2947521327614999e-82,2.9183645946543588e-83,5.8447367322356703e-55,2.4275127580847537e-56,2.7004912703437735e-79,4.2261423411528251e-73,6.7241820335696051e-70
5.604525677278686e-16,0.11224537200001272,0.0,0.0,0.0,0.0,0.99999999999977318,2.2554667571358326e-13,7.264531335597324e-16,1.3837171730055143e-23,7.2645313372273216e-16,1.0001452371356766e-23,3.0013667235537804e-24,1.078560627969675e-45,9.5451991227320185e-41,2.5804171866423983e-48,5.9447235333316495e-70,9.3432250733060596e-73,1.7455164836238287e-78,1.6631711074159709e-80,3.7487790440910628e-81,1.8748182647548768e-53,7.7867409336189946e-55,3.4654482361585431e-77,2.7113578997977769e-71,4.3140034819738984e-68
1.1213920621001575e-15,0.1122453720000255,0.0,0.0,0.0,0.0,0.9999999999995457,4.5128930854596257e-13,1.4535374303565509e-15,5.5384747627867874e-23,1.4535374310089744e-15,4.0031874345615791e-23,1.2013288780895925e-23,1.7277049060639468e-44,7.6419754586650256e-40,4.1320359565015318e-47,3.8094440676258328e-68,5.9901853239621767e-71,2.2371884078561331e-76,2.1326344912441202e-78,4.8069470508289424e-79,6.0066316070593435e-52,2.4947527646010455e-53,4.441431610456626e-75,1.7374026628012851e-69,2.7643353586787995e-66
2.2432710508447356e-15,0.112245372000051,0.0,0.0,0.0,0.0,0.99999999999909139,9.0277457412733366e-13,2.907706065025341e-15,2.2161113246527237e-22,2.907706067635888e-15,1.601796438990258e-22,4.8068803951212087e-23,2.7659342918065823e-43,6.1159225599798932e-39,6.6139690612233391e-46,2.4395921386297786e-66,3.8370862446828937e-69,2.8634881022897331e-74,2.7321891101390268e-76,6.1583399823922199e-77,1.9232764017677363e-50,7.9880017150904436e-52,5.6886681202502077e-73,1.1126336939304787e-67,1.7702543078049544e-64
4.487029028333891e-15,0.112245372000102,0.0,0.0,0.0,0.0,0.99999999999818268,1.8057451049565255e-12,5.8160434986635204e-15,8.8658883419800122e-22,5.8160435091074393e-15,6.4082289900373219e-22,1.9230652268606577e-22,4.4267774592182458e-42,4.8936987015354624e-38,1.0584569611405318e-44,1.5618396482050005e-64,2.45681020064358e-67,3.6601176140838263e-72,3.4987452018055603e-74,7.8861532527538853e-75,6.1563279703870452e-49,2.5569253962295968e-50,7.2838531107101505e-71,7.1232467080211611e-66,1.133307730626651e-62
8.974544983312204e-15,0.11224537200020399,0.0,0.0,0.0,0.0,0.99999999999636524,3.6116861652807059e-12,1.1632719023142206e-14,3.5466439650215687e-21,1.1632719064921513e-14,2.5635003818312274e-21,7.6928874710621375e-22,7.0838606323719535e-41,3.9153809868067505e-37,1.6937244810049999e-43,9.9974421431369359e-63,1.5726986639443759e-65,4.6687468016542178e-70,4.4793705301451827e-72,1.0096477177115206e-72,1.9703173845767138e-47,8.1833706409497758e-49,9.3249186217693626e-69,4.5598519426224482e-64,7.2542652874806292e-61
1.7949576893268826e-14,0.11224537200040803,0.0,0.0,0.0,0.0,0.99999999999272982,7.2235682805922542e-12,2.3266072700908268e-14,1.4187153129112571e-20,2.326607286803414e-14,1.0254420106970635e-20,3.0772806107367695e-21,1.1334959894062164e-39,3.1325339667060609e-36,2.7101643891392319e-42,6.3989812772064457e-61,1.0066312291156923e-63,5.9329993982334727e-68,5.7341924004232111e-70,1.2924837927132601e-70,6.305467084081216e-46,2.618862779092842e-47,1.1937109221020255e-66,2.9188841982046028e-62,4.6430698456330001e-59
3.5899640713182076e-14,0.11224537200081608,0.0,0.0,0.0,0.0,0.9999999999854593,1.4447332489868103e-11,4.6532790571670283e-14,5.674976701116156e-20,4.6532791240202113e-14,4.1018525547280635e-20,1.2309376133067875e-20,1.8136464426061477e-38,2.5062154203001427e-35,4.3365889179975249e-41,4.0956538741464721e-59,6.4427189622500139e-62,7.4853055102363636e-66,7.3400879431982409e-68,1.6544514971659036e-68,2.0178111540569795e-44,8.3805957912488922e-46,1.5280782863413109e-64,1.8686132163500819e-60,2.9716599196630832e-57
7.179976835300856e-14,0.1122453720016321,0.0,0.0,0.0,0.0,0.99999999997091904,2.8894860823030826e-11,9.3066268374074917e-14,2.2700137654345983e-19,9.3066271048347515e-14,1.6407585600472187e-19,4.9238031445296931e-20,2.9018453217801036e-37,2.0052021541286471e-34,6.9393204776489168e-40,2.621454575439055e-57,4.1233775507222287e-60,9.3132704778785159e-64,9.3954008923800328e-66,2.1177171543396177e-66,6.4570268849679472e-43,2.6817899708734503e-44,1.9561519715392112e-62,1.1965190290370046e-58,1.9018754035530124e-55
1.4360002363266154e-13,0.1122453720032642,0.0,0.0,0.0,0.0,0.99999999994183786,5.7789917147800295e-11,1.8613339222209416e-13,9.0801011910271524e-19,1.8613340292018372e-13,6.5630744015963525e-19,1.9695333583856159e-19,4.6428612509223594e-36,1.6045008795997623e-33,1.1105191297071359e-38,1.6779833808708003e-55,2.6389468581138965e-58,1.1289249798532086e-61,1.2026048559086207e-63,2.710661684202362e-64,2.066210389829663e-41,8.58148191968497e-43,2.5043419187685567e-60,7.6652666329971786e-57,1.2171821449519153e-53
2.8720053419196754e-13,0.11224537200652847,0.0,0.0,0.0,0.0,0.99999999988367527,1.15580028431115e-10,3.7226831288847426e-13,3.6320496695747321e-18,3.7226835568849991e-13,2.6252418608783397e-18,7.8781701329253779e-19,7.4281847516651292e-35,1.2841319295822461e-32,1.7775427948860467e-37,1.0742165200959144e-53,2.2318369849762002e-56,1.7235735469629319e-59,2.0302930162721841e-61,4.576258279007077e-62,6.6115356001595533e-40,2.7458781289222421e-41,3.2067061615702157e-58,4.9153570180390815e-55,7.789622438035931e-52
5.744015553105794e-13,0.1122453720130569,0.0,0.0,0.0,0.0,0.99999999976735077,2.3116024553284557e-10,7.4454084608261637e-13,1.4528216802931929e-17,7.4454101734340477e-13,1.05010241873299e-17,3.1512853916705726e-18,1.1883756519061135e-33,1.0281509252332418e-31,2.8463338899062106e-36,6.8788649236497679e-52,1.4341949750500526e-54,1.8617917544973406e-57,2.6142106941998065e-59,5.892387409857146e-60,2.1154604523099464e-38,8.7854934889208937e-40,4.1074924841875479e-56,3.1580741462418907e-53,4.9848833902534832e-50
