Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
6.455796228938781e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.5980492595724726e-16,8.3679398152943126e-19,2.7527820093454332e-29,8.3679398152975549e-19,1.989699807830167e-29,5.9709515880329283e-30,5.3343617368475014e-57,3.8253823580441581e-49,2.2318344530435805e-59,1.3516220996583391e-86,2.2403742055903003e-89,9.5635223211739035e-98,9.1081534282262012e-100,2.052973044940335e-100,2.0677889891906076e-67,8.5882130406723271e-69,1.8073527732249426e-96,6.7759729167067014e-88,1.078123991020022e-84,5.8697204770033533e-98,1.1233818908839642e-113,-2.0388460326158081e-184
1.8076229441028588e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.2745379268020268e-16,2.3430231483264766e-18,1.6626803336444902e-28,2.3430231483284353e-18,1.2017786839482828e-28,3.6064547592298375e-29,1.6772086791553991e-55,4.5414939503036355e-48,4.9925244136581823e-58,1.5283566367735808e-84,1.7287731108906771e-87,1.3378979885401406e-95,1.2741947983590571e-97,2.8720284932310468e-98,1.1909405998881941e-65,4.9463709921999942e-67,3.6835061160490827e-94,7.0924644225787628e-86,1.1284808461996398e-82,1.1117685853172411e-95,4.1283240552363137e-111,3.9753089792025474e-181
4.1317095865208205e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6627515261257558e-15,5.3554814820968429e-18,8.0050900831742472e-28,5.355481482106273e-18,5.7860470414530553e-28,1.7363527218869007e-28,3.7417602966085882e-54,4.4588657208511666e-47,9.8643869929255245e-57,1.3828892796434554e-82,1.8841014995230402e-85,2.9087411915067471e-93,2.7702485701126137e-95,6.2441259514242976e-96,5.3406775216200525e-64,2.2181603623274478e-65,6.6678195393402946e-92,6.3712697132723664e-84,1.0137316415660038e-80,1.9980095039497623e-93,1.4945263015176216e-108,6.6625505614209521e-177
8.779882871356743e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.5333469930154301e-15,1.1380398150342676e-17,3.4960331518663503e-27,1.138039815038386e-17,2.5269187562366716e-27,7.5831085177000428e-28,7.0079029138797389e-53,3.9438162875591487e-46,1.7553149828047348e-55,1.047748439965292e-80,1.5413120052056128e-83,4.7662412822454507e-91,4.5393257388228616e-93,1.0231616723880178e-93,2.0092963610660283e-62,8.3452736472016776e-64,1.0112520472286153e-89,4.8044075614884421e-82,7.6442842131384646e-79,3.0165060712285505e-91,4.5354041781876335e-106,7.9789434777314762e-173
1.807622944102859e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999267,7.2745379267890541e-15,2.3430231489654745e-17,1.4595250213528334e-26,2.3430231489826677e-17,1.0549388383746778e-26,3.1657985327834573e-27,1.2104409496313057e-51,3.3150153106816651e-45,2.9605953569954627e-54,7.2839941128089986e-79,1.109293436128065e-81,6.8663379408003673e-89,6.5394892595250327e-91,1.4739974934045091e-91,6.9575553424234161e-61,2.8897032947672587e-62,1.4067306327730014e-87,3.331148732362469e-80,5.300184058744509e-77,4.1854631213645144e-89,1.262156496467448e-103,7.8822913073730742e-169
3.6668922580372276e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998535,1.4756919794313399e-14,4.7529898179560522e-17,5.9626359435046706e-26,4.7529898180262922e-17,4.3097693739802328e-26,1.2933319984587292e-26,2.0111657265205079e-50,2.7178499811413783e-44,4.8627870144511262e-53,4.8565088523041764e-77,7.5191520047684864e-80,9.3123614666996293e-87,8.8692142260580093e-89,1.9991162934452597e-89,2.3148224704098705e-59,9.6142247833805333e-61,1.8763077265233748e-85,2.2179312418997994e-78,3.5289450312413604e-75,5.5751791928372013e-87,3.3674131652782176e-101,7.0832460499467426e-165
7.385430885905966e-17,0.11224537200000168,0.0,0.0,0.0,0.0,0.99999999999997025,2.9721683529270477e-14,9.572923160449858e-17,2.4101927827036402e-25,9.5729231607337752e-17,1.7420776891786131e-25,5.2278547266291613e-26,3.2787076774461216e-49,2.2009856140326912e-43,7.8827881141676926e-52,3.1720678525698382e-75,4.950947173522466e-78,1.2265680075748036e-84,1.1682351754438484e-86,2.6331960340270792e-87,7.5521204319012824e-58,3.1366458534616326e-59,2.451362670318463e-83,1.4476467369233645e-76,2.3033460265916761e-73,7.2789658381758469e-85,8.7995498463814334e-99,6.0755396751109281e-161
1.482250814164344e-16,0.1122453720000034,0.0,0.0,0.0,0.0,0.99999999999993983,5.9651210998818154e-14,1.9212789863488073e-16,9.6912791750614404e-25,1.9212789864629687e-16,7.0048177763222386e-25,2.102097394939985e-25,5.2951214993150432e-48,1.7715450807381164e-42,1.2694989860503472e-50,2.050828200705418e-73,3.2137019333139229e-76,1.5924303210131674e-82,1.5167909708773643e-84,3.4188389887864535e-85,2.4400911796496619e-56,1.013450708140161e-57,3.169948691312221e-81,9.35614885166451e-75,1.4886522663609246e-71,9.4095166586485288e-83,2.2758860706710308e-96,5.0923728944579636e-157
2.9696662653118394e-16,0.1122453720000068,0.0,0.0,0.0,0.0,0.99999999999987954,1.1951026593644773e-13,3.8492523341766922e-16,3.8866364022064746e-24,3.8492523346345312e-16,2.8092452324495497e-24,8.4303507582189885e-25,8.5117526534015811e-47,1.4215539645474859e-41,2.0378278639005688e-49,1.3191970332345096e-71,2.0713150811890695e-74,2.0525883753279375e-80,1.9553317750647119e-82,4.4073076829961271e-83,7.845963022858552e-55,3.2586883146521223e-56,4.0782761008907493e-79,6.0173016880260287e-73,9.574079441514613e-70,1.2103697486824646e-80,5.8561560294834786e-94,4.2195965131558912e-153
5.94449716760683e-16,0.11224537200001349,0.0,0.0,0.0,0.0,0.99999999999975953,2.3922837580584386e-13,7.7051990587134347e-16,1.5566818196267756e-23,7.7051990605471794e-16,1.1251633923283593e-23,3.3765375656899994e-24,1.3650532761829978e-45,1.138974021732504e-40,3.2658408094430985e-48,8.4642651256161396e-70,1.3303146280714226e-72,2.6360010737156608e-78,2.5117172532626335e-80,5.6613976510911967e-81,2.5167523117915137e-53,1.0452905500212755e-54,5.2335126814774697e-77,3.8605093844323598e-71,6.1423994177733762e-68,1.5530945562853275e-78,1.5030145069500421e-91,3.4764236892437886e-149
