Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809)
6.690628724090372e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6925544714032315e-16,8.6723273945255789e-19,2.956691787815453e-29,8.67232739452906e-19,2.1370849787818128e-29,6.4132442982614729e-30,6.1539070241520549e-57,4.2582014283607511e-49,2.5747225996482803e-59,1.6747808453901968e-86,2.7760243096798367e-89,1.2281111577239312e-97,1.1696344618273035e-99,2.6363499928781874e-100,2.4722466823287255e-67,1.0268059897691163e-68,2.3209337707753128e-96,8.3960373570172843e-88,1.3358921920657398e-84,7.5376720486593559e-98,1.4950797302499433e-113,-3.2441949821908885e-184,-3.8652905036355193e-155,-1.4326289815898822e-163
1.8733760427453042e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.5391525199280868e-16,2.4282516705144951e-18,1.7858418398403651e-28,2.4282516705165982e-18,1.2907993272052109e-28,3.8735995562144338e-29,1.9348868300721691e-55,5.0553367528624567e-48,5.7595514851340384e-58,1.8937707675905144e-84,2.1421047297780091e-87,1.7180776511187968e-95,1.6362725541951465e-97,3.6881498844516889e-98,1.4238875254063197e-65,5.9138767730335438e-67,4.7302186214361605e-94,8.7881986970273149e-86,1.3982888460676292e-82,1.4276909823075548e-95,5.4942790762180253e-111,6.3254788288244244e-181,7.2183633099064785e-152,4.8143051536759632e-160
4.282002383417839e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7232348616973953e-15,5.5502895328277026e-18,8.5980597189648115e-28,5.5502895328378306e-18,6.2146431186124521e-28,1.8649714420311962e-28,4.3166260757705661e-54,4.9633596360205083e-47,1.137990324353554e-56,1.7135236829123003e-82,2.3345705158415639e-85,3.735294416338673e-93,3.5574479735290522e-95,8.0184693359190069e-96,6.3853093098998693e-64,2.6520305625542091e-65,8.5625605503179458e-92,7.8945738634180059e-84,1.2561043034453044e-80,2.5657679032561282e-93,1.9890261712099975e-108,1.0601395390849169e-176,3.0047530976650691e-148,4.0097289991096067e-156
9.099255064762907e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.6618740811050322e-15,1.1794365258211449e-17,3.7549985705230121e-27,1.179436525825568e-17,2.7140979233783406e-27,8.1448202597919181e-28,8.0845628940724573e-53,4.3900354503826104e-46,2.0249930066551549e-55,1.2982541644069169e-80,1.9098236286631683e-83,6.1206242805104732e-91,5.8292296665566255e-93,1.3139053501581946e-93,2.4023129477266796e-62,9.9776017726924298e-64,1.2986114633954041e-89,5.9530913237406943e-82,9.4719528350688564e-79,3.8736825054952714e-91,6.0360514245398186e-106,1.269602877916224e-172,8.505290907819564e-145,2.2701259471967731e-152
1.8733760427453044e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999245,7.5391525199141544e-15,2.4282516712008265e-17,1.5676379858973992e-26,2.428251671219293e-17,1.1330824560430115e-26,3.400302127838096e-27,1.3964071856858647e-51,3.6900894173115997e-45,3.4154467761049368e-54,9.0255211423166642e-79,1.3745139256157298e-81,8.8174854129062881e-89,8.3977636721746466e-91,1.8928515839192807e-91,8.318446997319171e-61,3.4549266962535277e-62,1.806470040932034e-87,4.1275916861844832e-80,6.5674027830561442e-77,5.3748127480599618e-89,1.6797712454467636e-103,1.2542236367895102e-168,2.0337123957697552e-141,1.0856613739589588e-148
3.8002771152833317e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.99999999999998479,1.5293709397507797e-14,4.9258819631719221e-17,6.4043126800598473e-26,4.9258819632473637e-17,4.6290115499203942e-26,1.3891343687425128e-26,2.3201514061578287e-50,3.0253584170038008e-44,5.6098818851643884e-53,6.0176494796050044e-77,9.3169028115209319e-80,1.1958567468230897e-86,1.1389507962008992e-88,2.5671891963111356e-89,2.7675996920699925e-59,1.1494758619726601e-60,2.4094831108464856e-85,2.7482155179047921e-78,4.3726789781683874e-75,7.1594333499528772e-87,4.4816025841962226e-101,1.1270801700129748e-164,4.49318485762751e-138,4.7972963600925938e-145
7.654079260359387e-17,0.11224537200000173,0.0,0.0,0.0,0.0,0.99999999999996925,3.0802823152596694e-14,9.9211425519610331e-17,2.588725581421843e-25,9.9211425522659809e-17,1.8711204810423248e-25,5.6151032251213538e-26,3.7824323096681205e-49,2.4500139540831031e-43,9.0938612529286864e-52,3.9304762110764265e-75,6.1346669893403908e-78,1.5751085198986601e-84,1.5002032287163459e-86,3.3814503064380159e-87,9.0293084839142848e-58,3.75017099637487e-59,3.1479468366856302e-83,1.7937640377768043e-76,2.8540520342841473e-73,9.3473714786962869e-85,1.1711092025344137e-98,9.6673469111776709e-161,9.5539397587611537e-135,2.0401329874234217e-141
1.5361683550511496e-16,0.1122453720000035,0.0,0.0,0.0,0.0,0.99999999999993783,6.1821050662380876e-14,1.9911663748926936e-16,1.0409151706542767e-24,1.9911663750153119e-16,7.5236931677460973e-25,2.2578083132634729e-25,6.1086380950374606e-48,1.9719848117291585e-42,1.4645386326753902e-50,2.5411598595093941e-73,3.9820645284386443e-76,2.0449293857445796e-82,1.9478053347535926e-84,4.390343131362512e-85,2.9173708451102728e-56,1.2116807647505164e-57,4.0707277395331675e-81,1.1593107303793664e-74,1.8445734927316041e-71,1.2083344018416161e-82,3.028917599205932e-96,8.1029388771979952e-157,1.993516939701902e-131,8.5138817786022531e-138
3.0776892130815716e-16,0.112245372000007,0.0,0.0,0.0,0.0,0.99999999999987532,1.2385750568037486e-13,3.9892706220409496e-16,4.1745353949587342e-24,3.9892706225327023e-16,3.0173374723598239e-24,9.0548211861963908e-25,9.8194567222342339e-47,1.5823943184047778e-41,2.3509098557393978e-49,1.6346033188022932e-71,2.5665448906180705e-74,2.6358324624524119e-80,2.5109627626316943e-82,5.659697047597747e-83,9.3806263952385257e-55,3.8960848378167014e-56,5.2371673774942265e-79,7.4559768536480875e-73,1.1863141931591227e-69,1.5543108980758647e-80,7.793805908029582e-94,6.7141824063877053e-153,4.120909885570432e-128,3.5199079506585164e-134
6.160730929142415e-16,0.11224537200001403,0.0,0.0,0.0,0.0,0.99999999999975031,2.4793041571006528e-13,7.9854791473577588e-16,1.6719915840405457e-23,7.9854791493273364e-16,1.2085088291733511e-23,3.6266514606006947e-24,1.5747733817906806e-45,1.2678421794571711e-40,3.7675888686939842e-48,1.0487983076256162e-69,1.6483789519160916e-72,3.3849919591333579e-78,3.2254518237913054e-80,7.2701516668386801e-81,3.0090268075804483e-53,1.2497484406178235e-54,6.7206785262059158e-77,4.7835183173979936e-71,7.6109829953366826e-68,1.9944251511529207e-78,2.0003230113824612e-91,5.5316488500649773e-149,8.4789428815328864e-125,1.4484697952294383e-130
