Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479603836421179e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8027569361967828e-16,5.8064185996634684e-19,1.3254135600552471e-29,5.8064185996650284e-19,9.5800361117272088e-30,2.8749026164456517e-30,1.2366352999876124e-57,1.2780393704703408e-49
1.2542890741979301e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194213505624e-16,1.6257972079269898e-18,8.0054979027331895e-29,1.6257972079279325e-18,5.7863418115462524e-29,1.736441180352535e-29,3.888179243778069e-56,1.5172883441154963e-48
2.8669464553095546e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391656396e-15,3.7161079039331489e-18,3.8543026326399e-28,3.7161079039376887e-18,2.7858745013847968e-28,8.360216808914368e-29,8.6743139993007838e-55,1.4896827006618776e-47
6.0922612175328035e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.4517494332261174e-15,7.8967292962849596e-18,1.6832752212693795e-27,7.8967292963047859e-18,1.2166645862870311e-27,3.6511263231860687e-28,1.6246030096486388e-53,1.3176074909942905e-46
1.2542890741979302e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.0477194213443168e-15,1.6257972082346554e-17,7.0273426954058568e-27,1.6257972082429339e-17,5.0793351473168465e-27,1.5242733675095668e-27,2.8060976822715916e-52,1.1075285087859967e-45
2.5444149790872298e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.0239659397569687e-14,3.2980457659901643e-17,2.8708987876160841e-26,3.2980457660239836e-17,2.0750741426888484e-26,6.2271540656126316e-27,4.6623732456995266e-51,9.0801881965611821e-45
5.1246667888658286e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.0623539349976315e-14,6.6425428836739409e-17,1.1604631916743289e-25,6.6425428838106407e-17,8.3877814636729042e-26,2.517115237904746e-26,7.600845040564649e-50,7.3533723736272362e-44
1.0285170408423027e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299254613131e-14,1.3331537127732524e-16,4.6661714546769661e-25,1.333153712828219e-16,3.3726900382439329e-25,1.0121209672558473e-25,1.2275384810277204e-48,5.9186347042662298e-43
2.0606177647537422e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819063181036e-14,2.6709525650613821e-16,1.8713434529284761e-24,2.6709525652818234e-16,1.3525995545932065e-24,4.0590577670335312e-25,1.9732321816656676e-47,4.749333034363152e-42
4.1248192125766216e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.6599785867749381e-13,5.3465502835432936e-16,7.4951346872060193e-24,5.3465502844262074e-16,5.4174533562771875e-24,1.6257403050458477e-24,3.164527072231393e-46,3.8052481477001771e-41
8.25322210822238e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993789482718e-13,1.0697745776129718e-15,3.0000071632504842e-23,1.0697745779663675e-15,2.1683931844809887e-23,6.5071980612641363e-24,5.0691349222807207e-45,3.0465159328400791e-40
1.6510027899513897e-15,0.11224537200003754,0.0,0.0,0.0,0.0,0.9999999999993312,6.6442409628432564e-13,2.1400136983792979e-15,1.2003936342463599e-22,2.1400136997933429e-15,8.6763973039168865e-23,2.6037268579717689e-23,8.1153304005570766e-44,2.4381445043236089e-39
3.302363948209693e-15,0.11224537200007506,0.0,0.0,0.0,0.0,0.99999999999866263,1.3289924128826499e-12,4.2804920289081123e-15,4.8023561857150093e-22,4.2804920345652263e-15,3.4711239771013792e-22,1.0416603130376299e-22,1.2988295575682519e-42,1.9508954201014629e-38
6.6050862647263e-15,0.11224537200015017,0.0,0.0,0.0,0.0,0.99999999999732458,2.6581290453566038e-12,8.5614490459503523e-15,1.9210988147673857e-21,8.5614490685807427e-15,1.3885626594856888e-21,4.1669805680496884e-22,2.0784268014581239e-41,1.5608795334020516e-37
1.3210530897759514e-14,0.11224537200030028,0.0,0.0,0.0,0.0,0.9999999999946495,5.3164023074137427e-12,1.7123364503973061e-14,7.6847079479817507e-21,1.712336459449904e-14,5.5544771792080603e-21,1.6668602144563638e-21,3.325716445944637e-40,1.2487869165527869e-36
2.6421420163825943e-14,0.11224537200060059,0.0,0.0,0.0,0.0,0.99999999998929867,1.0632948819964924e-11,3.4247201115769394e-14,3.0739457155412602e-20,3.424720147788657e-14,2.2218364974831464e-20,6.6675778078475313e-21,5.3213137687863931e-39,9.9909166219622509e-36
5.28431986959588e-14,0.11224537200120117,0.0,0.0,0.0,0.0,0.99999999997859723,2.1266041798814922e-11,6.8494897122350195e-14,1.2295907915597686e-19,6.8494898570880735e-14,8.8874397762726436e-20,2.6670592918927411e-20,8.5141739072259907e-38,7.9934428131704565e-35
1.0568675576022451e-13,0.1122453720024024,0.0,0.0,0.0,0.0,0.9999999999571938,4.2532227571505438e-11,1.3699038026733987e-13,4.9183881607346795e-19,1.369903860618681e-13,3.5549966950033468e-19,1.0668299733390131e-19,1.3622537072757785e-36,6.3957756556350648e-34
2.1137386988875593e-13,0.11224537200480482,0.0,0.0,0.0,0.0,0.99999999991438748,8.5064598376848462e-11,2.739817110836355e-13,1.9673602501623233e-18,2.7398173426482075e-13,1.4220044566207552e-18,4.2673373890124398e-19,2.1795310569686479e-35,5.1182092475680023e-33
