Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
5.271135548094622e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.121298337522774e-16,6.8323942485764143e-19,1.8351880062303205e-29,6.8323942485785761e-19,1.326466538549488e-29,3.9806343920097962e-30,2.370827438895369e-57,2.0822744099732397e-49,9.9192642321782833e-60,3.7103393906108596e-87,6.6381458021829924e-90,2.3136547575795318e-98,2.2034892271056992e-100
1.4759179534664942e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.9396353450631728e-16,1.9130703896307754e-18,1.1084535557630321e-28,1.9130703896320812e-18,8.0118578929415793e-29,2.4043031728054614e-29,7.4542607979514507e-56,2.4720761861129457e-48,2.2188997373343451e-58,4.2202433541496174e-85,5.1222907022482186e-88,3.2367096842860367e-96,3.0825946576863787e-98
3.3735267507805585e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.3576309360141582e-15,4.372732319294561e-18,5.3367267221165409e-28,4.3727323193008465e-18,3.8573646942559203e-28,1.1575684812437649e-28,1.6630045770350684e-54,2.4270990719603188e-47,4.3841719875593937e-57,3.8205702845973149e-83,5.5825229669457035e-86,7.0369745449521012e-94,6.701921445877282e-96
7.168744345408686e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8849657390288866e-15,9.2920561790921977e-18,2.3306887679112311e-27,9.2920561791196538e-18,1.6846125041169908e-27,5.055405678341372e-28,3.1146235201562051e-53,2.1467416664659866e-46,7.8013998885768765e-56,2.895652303162457e-81,4.566850393385703e-84,1.1530741306212256e-91,1.0981759856467422e-93
1.4759179534664943e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999412,5.9396353450545249e-15,1.9130703900567744e-17,9.7301668090216566e-27,1.9130703900682363e-17,7.0329255888216486e-27,2.1105323550836315e-27,5.3797375638762445e-52,1.8044657607670619e-45,1.3158201465415858e-54,2.0134571072966848e-79,3.2867953763656351e-82,1.6611428878386929e-89,1.5820653740897023e-91
2.9940049913177454e-17,0.11224537200000068,0.0,0.0,0.0,0.0,0.9999999999999879,1.2048974557090532e-14,3.8807999351039914e-17,3.9750906290053771e-26,3.8807999351508183e-17,2.8731795823723822e-26,8.6222133221945448e-27,8.9385143732256675e-51,1.4794101161974456e-44,2.1612386327492241e-53,1.3425798688775927e-77,2.2278969033576618e-80,2.2529049322147546e-87,2.1456838912477977e-89
6.030179067020248e-17,0.11224537200000136,0.0,0.0,0.0,0.0,0.9999999999999758,2.4267652981101483e-14,7.816259028206863e-17,1.6067951884709253e-25,7.8162590283961415e-17,1.1613851258914286e-25,3.4852364837200361e-26,1.4572034230083022e-49,1.1980647725208818e-43,3.5034612524550295e-52,8.7696088476922697e-76,1.4669473274819758e-78,2.9674070299150847e-85,2.8262519622165955e-87
1.2102527218425254e-16,0.11224537200000277,0.0,0.0,0.0,0.0,0.99999999999995082,4.8705009828879047e-14,1.5687177226446336e-16,6.4608527833890347e-25,1.5687177227207415e-16,4.6698785157158557e-25,1.4013982627303812e-25,2.3533873679559034e-48,9.6430692582383055e-43,5.6422172905013452e-51,5.6699336187751224e-74,9.5220800180614743e-77,3.8525725115161597e-83,3.6694953166158868e-85
2.4247223521235264e-16,0.11224537200000548,0.0,0.0,0.0,0.0,0.99999999999990197,9.7579723523457027e-14,3.1429013671060247e-16,2.5910909348161435e-24,3.1429013674112508e-16,1.8728301534960591e-24,5.6202338342954078e-25,3.7830012915948534e-47,7.737958470523992e-42,9.0570113609674864e-50,3.6472356372684632e-72,6.1372301463368853e-75,4.9659465012654385e-81,4.7304349029339794e-83
4.853661612685529e-16,0.11224537200001104,0.0,0.0,0.0,0.0,0.99999999999980327,1.9532915090870412e-13,6.291268675282781e-16,1.0377878797606568e-23,6.2912686765052778e-16,7.501089270408699e-24,2.2510250401740285e-24,6.0669038099435896e-46,6.1997873607113329e-41,1.4514843655461347e-48,2.3401630520009964e-70,3.9416733251190321e-73,6.3777181751802402e-79,6.0764703129695809e-81
9.711540133809534e-16,0.11224537200002209,0.0,0.0,0.0,0.0,0.99999999999960654,3.908280056635632e-13,1.258800336865221e-15,4.1538560721423013e-23,1.2588003373545386e-15,3.0023905694291536e-23,9.009966565726354e-24,9.7183409860423618e-45,4.9636065270133206e-40,2.3242692581572957e-47,1.4996067192091693e-68,2.5271097491289564e-71,8.1746817725208579e-77,7.7916763389146642e-79
1.9427297176057543e-15,0.11224537200004416,0.0,0.0,0.0,0.0,0.9999999999992133,7.818257151107406e-13,2.5181473063454727e-15,1.6620834935313265e-22,2.5181473083033821e-15,1.2013473240470966e-22,3.6051602803783715e-23,1.5558383239303704e-43,3.9724048108571611e-39,3.7203544994717454e-46,9.6035893986620902e-67,1.61877116069531e-69,1.046447531988504e-74,9.982177396550539e-77
3.885881126055356e-15,0.11224537200008836,0.0,0.0,0.0,0.0,0.99999999999842593,1.563821133754932e-12,5.036841368531424e-15,6.6494162568193334e-22,5.0368413763643576e-15,4.80617170095532e-22,1.4422989073730384e-22,2.4900632324077221e-42,3.1785450758490364e-38,5.9538104915358435e-45,6.1482700755462357e-65,1.0364673098736984e-67,1.3379022927884135e-72,1.2782828024678793e-74
7.77218394295456e-15,0.11224537200017666,0.0,0.0,0.0,0.0,0.99999999999685218,3.1278119700426643e-12,1.0074229985805094e-14,2.6599829740336632e-21,1.0074230017139526e-14,1.9226252531121303e-21,5.769665501107253e-22,3.984674523249425e-41,2.5431057973401708e-37,9.5271684732641508e-44,3.9355473997707136e-63,6.6348287906299279e-66,1.7074308892544329e-70,1.6365595592854177e-72
1.5544789576752968e-14,0.11224537200035337,0.0,0.0,0.0,0.0,0.99999999999370381,6.2557936386155185e-12,2.0149009191959074e-14,1.0640364848974423e-20,2.0149009317303102e-14,7.6908148141250812e-21,2.3079603762971986e-21,6.3759242771782566e-40,2.0346264896861721e-36,1.5244573137664533e-42,2.5189893989035854e-61,4.2467331082771813e-64,2.1718991210198894e-68,2.0950164915626565e-70
3.109000084434978e-14,0.11224537200070668,0.0,0.0,0.0,0.0,0.99999999998740796,1.2511756959750796e-11,4.0298575490690448e-14,4.2562325275491559e-20,4.0298575992086337e-14,3.0763892031587792e-20,9.2320314457420647e-21,1.0201791118048869e-38,1.6278122566448973e-35,2.4392987687855416e-41,1.6122675894711067e-59,2.7180306704807196e-62,2.7453823737288817e-66,2.6817422347052706e-68
6.218042337954341e-14,0.11224537200141343,0.0,0.0,0.0,0.0,0.99999999997481515,2.5023683537979608e-11,8.0597739633821428e-14,1.7025103254455919e-19,8.0597741639502135e-14,1.2305687497237326e-19,3.6928518351435182e-20,1.6322975545154564e-37,1.3023811483507571e-34,3.9032637746565138e-40,1.0319363302083889e-57,1.7395581915787749e-60,3.4283582008639809e-64,3.432667614857099e-66
1.2436126844993065e-13,0.1122453720028269,0.0,0.0,0.0,0.0,0.99999999994963007,5.0047536438270252e-11,1.6119619410255366e-13,6.8100759042275628e-19,1.6119620212593095e-13,4.922304438698241e-19,1.4771496001829815e-19,2.6116400475775101e-36,1.0420965224423789e-33,6.2463373220087936e-39,6.6052851461032835e-56,1.1133100908526669e-58,4.1840038847227147e-62,4.3937869180737389e-64
2.4872295859070516e-13,0.11224537200565379,0.0,0.0,0.0,0.0,0.99999999989926003,1.0009524121418347e-10,3.2239360776827655e-13,2.7240372609468312e-18,3.2239363986677667e-13,1.968930305660329e-18,5.9086242508223467e-19,4.1784518159505691e-35,8.3397636434111226e-33,9.9976133208636055e-38,4.2284620777748419e-54,9.4153794245450857e-57,6.4628796280826563e-60,7.4176198957703066e-62
4.974463388722542e-13,0.1122453720113076,0.0,0.0,0.0,0.0,0.99999999979851972,2.0019064666733613e-10,6.4479045399977468e-13,1.0896162672325247e-17,6.4479058243321386e-13,7.8757594205615033e-18,2.3634613646325473e-18,6.6849262355262108e-34,6.6765675286441398e-32,1.600722049895479e-36,2.7075771331455205e-52,6.0499847007660721e-55,7.1081007643805855e-58,9.5503027426552527e-60
9.948930994353523e-13,0.11224537202261525,0.0,0.0,0.0,0.0,0.99999999959703922,4.0038144117893505e-10,1.2895922219591359e-12,4.3584676586480854e-17,1.2895927360074179e-12,3.1503283176443987e-17,9.4539207419984133e-18,1.0693936746543044e-32,5.3488525553579812e-31,2.5646816386201784e-35,1.7345845310346954e-50,3.875086664789949e-53,7.0509865808358504e-56,1.2234645001365239e-57
1e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.99999999959497066,4.0243664466065784e-10,1.2962120680492035e-12,4.4255851966873155e-17,1.2962125900263944e-12,3.198842234921416e-17,9.5995077702435953e-18,1.1517013644900127e-32,5.5416701886574898e-31,2.7627325975944722e-35,2.2966627592892078e-50,5.1308802068806995e-53,1.0212687144547328e-55,2.0227095354417229e-57
1.989786620561548e-12,0.11224537204523051,0.0,0.0,0.0,0.0,0.999999999194078,8.0076296462321614e-10,2.5792280590326037e-12,1.7433874726103083e-16,2.5792301177398727e-12,1.2601497644848588e-16,3.7816249183397896e-17,1.7104048413549033e-31,4.2912343690873074e-30,4.1147695621866558e-34,1.1123504972816207e-48,2.4852070739539439e-51,6.2299315465866079e-54,1.5692724161349509e-55
2.9846801416877443e-12,0.11224537206784573,0.0,0.0,0.0,0.0,0.9999999987911169,1.2011444224481211e-09,3.868896196300188e-12,3.7046985163679414e-16,3.868900574744741e-12,2.677844991010405e-16,8.0360351006372561e-17,6.5198163012848596e-31,1.22934503290737e-29,1.5167961375025343e-33,6.2081708036670749e-48,1.233911571189145e-50,3.3162734508326726e-53,9.3000040729348029e-55
3.97957366281394e-12,0.11224537209046102,0.0,0.0,0.0,0.0,0.99999999838815568,1.6015258146535249e-09,5.1585966329312169e-12,6.3197798057539449e-16,5.158604107840266e-12,4.5681303472866732e-16,1.3708658991625549e-16,1.7539565871484279e-30,2.5984493993989017e-29,3.8530938293581022e-33,2.3431134564066869e-47,5.2274895148961494e-50,1.4306307605177283e-52,4.2051394387404346e-54
5.9693607050663325e-12,0.11224537213569157,0.0,0.0,0.0,0.0,0.99999999758223279,2.4022884449535186e-09,7.7380733079056428e-12,1.3084300853069807e-15,7.7380888037883958e-12,9.4578778745347351e-16,2.8382480342494199e-16,7.0926059310178858e-30,7.1300979222570722e-29,1.3521891982704828e-32,1.7071506407819805e-46,4.7319266023999928e-49,1.3591751328077212e-51,4.3737932442921599e-53
7.959147747318725e-12,0.11224537218092208,0.0,0.0,0.0,0.0,0.99999999677630946,3.2030508338938884e-09,1.0317668752091422e-11,2.2252967530826155e-15,1.0317695138945019e-11,1.6085606179207567e-15,4.8271881458115716e-16,1.9208102934239091e-29,1.4981059684892074e-28,3.3892006611165086e-32,6.2878423872594835e-46,1.8712399940795852e-48,5.5910448548470048e-51,1.9627285100264013e-52
1e-11,0.11224537227138327,0.0,0.0,0.0,0.0,0.99999999594970257,4.0243634390523384e-09,1.2963601081055145e-11,3.4390558196833807e-15,1.2963641925329674e-11,2.4859759670507309e-15,7.4602591994566934e-16,4.9921124037977656e-29,2.8965998225112355e-28,8.3842993960064375e-32,3.1821904167165985e-45,9.5400271923865293e-48,3.1231357626410776e-50,1.5809479648171189e-51
1.1938721831823509e-11,0.11224537227138327,0.0,0.0,0.0,0.0,0.99999999516446136,4.8045748194118453e-09,1.54772496032509e-11,4.8484671013131909e-15,1.5477307264353166e-11,3.504847404880896e-15,1.05178330309217e-15,9.6248568425949883e-29,4.7815301622663591e-28,1.5854850704887928e-31,7.5620525635170474e-45,2.2672856519917489e-47,7.5566132153232848e-50,4.0483092103348272e-51
1.5918295916328293e-11,0.11224537236184456,0.0,0.0,0.0,0.0,0.99999999355261082,6.4060977604002636e-09,2.0637344469613075e-11,8.512275269079253e-15,2.0637445986833335e-11,6.1535364269765597e-15,1.8466401823088645e-15,2.8859176948160365e-28,1.0975633757163493e-27,4.6325605508917259e-31,3.5107063158375102e-44,1.0900936266254842e-46,3.7511862996212216e-49,2.3544802384428605e-50
2.3877444085337862e-11,0.11224537254276737,0.0,0.0,0.0,0.0,0.99999999032890408,9.6091404943469885e-09,3.0959083079840497e-11,1.8976184387268988e-14,3.0959310769233177e-11,1.3718907929458668e-14,4.1169710394934607e-15,1.4906257694407263e-27,3.7402462596250988e-27,2.3999247350438885e-30,4.5244702607867888e-43,1.3805620844496129e-45,5.0329721745685423e-48,4.9263592563127348e-49
3.9795740423357e-11,0.11224537290461394,0.0,0.0,0.0,0.0,0.99999998388146671,1.6015213366654771e-08,5.1608755629946609e-11,5.245235046546176e-14,5.1609393033846113e-11,3.7926443431385177e-14,1.1381566248946729e-14,1.2136766326083723e-26,1.8327632171642188e-26,2.0678318651691208e-29,1.2138771543238202e-41,3.5193654598787572e-44,1.3422352604871868e-46,2.4133794428130464e-47
7.163233309939527e-11,0.11224537362831118,0.0,0.0,0.0,0.0,0.99999997098649451,2.8827308713272922e-08,9.2932874503731358e-11,1.6961141196427118e-13,9.2934989188670023e-11,1.2267871042994321e-13,3.6815661978796466e-14,1.3345483178931159e-25,1.1847796885315063e-25,2.5371498808298953e-28,5.1838719802218522e-40,1.4407211843957209e-42,5.6379986159957136e-45,1.9554449926969087e-45
9.999999999999999e-11,0.1122453743520139,0.0,0.0,0.0,0.0,0.99999995949645304,4.0243337253652582e-08,1.2978211736980388e-10,3.3040381263800317e-13,1.2978631825959081e-10,2.3903756159321932e-13,7.1735210381734509e-14,4.7100127985177167e-25,3.309265841579903e-25,9.2010533242748881e-28,2.9494082986277423e-39,8.9025894732453234e-42,3.4986418951754325e-44,1.4096113291068267e-44
1.0346892577543355e-10,0.1122453743520139,0.0,0.0,0.0,0.0,0.99999995809139242,4.1639336859060545e-08,1.3429000695020824e-10,3.5371328542958227e-13,1.3429451273552792e-10,2.5590745111116388e-13,7.6797915737612148e-14,5.2711523195905805e-25,3.6487320173048758e-25,1.0312594111028889e-27,3.3747173243826099e-39,1.0216598118619588e-41,4.015597413124641e-44,1.6254526973498485e-44
1.6714211112751009e-10,0.11224537579943561,0.0,0.0,0.0,0.0,0.99999993230079853,6.7263191520137101e-08,2.1710317680818227e-10,9.2275087564325488e-13,2.1711548260897255e-10,6.6799817622104292e-13,2.0046983801057384e-13,3.6333789794848172e-24,1.756310669350586e-24,8.1057004302324516e-27,7.7150397121177999e-38,2.3839930832863668e-40,9.4608669503933275e-43,6.589446836967963e-43
