Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809),C5H8(470)
6.805006731124125e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843778543257e-16,8.8205830465206615e-19,3.0586466770504632e-29,8.8205830465242649e-19,2.2107775642576849e-29,6.6343906533758909e-30,6.5856317737070216e-57,4.4803411754551881e-49,2.7553511768894123e-59,1.8540769535318352e-86,3.0732156444651858e-89,1.3828308752687124e-97,1.3169872017148181e-99,2.9684823021001871e-100,2.6909147844792686e-67,1.1176261003412994e-68,2.6133293535664357e-96,9.29488738888969e-88,1.4789080809136348e-84,8.487282089157936e-98,1.7122113860296025e-113,-4.0439717850068267e-184,-4.6575770933066773e-155,-1.7557928385039183e-163,-3.0956619078833097e-140
1.905401884714755e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.6680362579911195e-16,2.4697632530747506e-18,1.8474225929383028e-28,2.4697632530769265e-18,1.3353096488337331e-28,4.0071719547069097e-29,2.0706279988545111e-55,5.3190610618134991e-48,6.1636103889267109e-58,2.0965111619073721e-84,2.3714308786941024e-87,1.9345242254332266e-95,1.8424132349326538e-97,4.1527899139450213e-98,1.5498291577905998e-65,6.4369541096719539e-67,5.3261404226733052e-94,9.7290321423935019e-86,1.5479846997942621e-82,1.6075541662301149e-95,6.2922177353242735e-111,7.8848706761980506e-181,8.6979448432536843e-152,5.9002872473137581e-160,3.0025991814478219e-137
4.35520430791944e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940018260729e-15,5.6451731501159816e-18,8.8945445368600919e-28,5.6451731501264579e-18,6.4289411571927183e-28,1.9292808021035172e-28,4.6194571558461219e-54,5.2222857288203143e-47,1.2178255554433751e-56,1.8969674625857993e-82,2.5845013703720745e-85,4.2058735167703284e-93,4.0056219313952335e-95,9.0286511193279584e-96,6.9500844506751819e-64,2.8866003948676944e-65,9.6412879664238446e-92,8.7397390021670584e-84,1.3905783833720788e-80,2.8890081495692121e-93,2.2778940745896782e-108,1.3214909682118859e-176,3.6206513283852313e-148,4.9142196251966186e-156,6.1997396211124039e-134
9.25480915432881e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.7244747538784042e-15,1.1995992944981886e-17,3.8844812798513373e-27,1.1995992945027644e-17,2.8076875069496744e-27,8.4256761308393916e-28,8.6517319907107591e-53,4.619052651469432e-46,2.1670555371926946e-55,1.4372406597023873e-80,2.1142825850137248e-83,6.8917110533706233e-91,6.5636069361367342e-93,1.4794336066719465e-93,2.6147954707896322e-62,1.0860112105152691e-63,1.4622129681958823e-89,6.590408220117128e-82,1.0485986573145492e-78,4.361696284236302e-91,6.9126721285808971e-106,1.5825923526691808e-172,1.024865997714684e-144,2.7822073445891096e-152,8.7325216185554018e-131
1.905401884714755e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362579767048e-15,2.4697632537847485e-17,1.6216944681696782e-26,2.4697632538038519e-17,1.172154264877598e-26,3.5175539253667044e-27,1.4943715421545274e-51,3.8825921812873573e-45,3.6550560062173541e-54,9.9917614905966058e-79,1.5216645201134268e-81,9.9283260385502777e-89,9.4557296645631706e-91,2.1313165708548806e-91,9.0542065103490426e-61,3.7605120035772146e-62,2.0340525215086706e-87,4.5694770598121587e-80,7.2704856747955433e-77,6.0519417297154381e-89,1.9237258033309678e-103,1.5634217196542353e-168,2.4505718907540945e-141,1.3305583536206814e-148,1.0411604559559688e-127
3.8652438232785025e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159266147858e-14,5.0100911736113838e-17,6.6251510483374076e-26,5.0100911736894268e-17,4.7886326378939184e-26,1.4370355538854623e-26,2.4829206480285763e-50,3.1831838251456196e-44,6.0034407916131466e-53,6.6618777381304408e-77,1.0314337437943851e-79,1.3465122868475531e-86,1.2824379498815535e-88,2.8906084976084263e-89,3.0123915142875307e-59,1.2511460172811288e-60,2.7130343100489433e-85,3.0424297690902212e-78,4.8408025086740171e-75,8.0613921867291494e-87,5.1324694133383397e-101,1.4049341184597376e-164,5.4141738625379146e-138,5.8794416715532341e-145,1.1484168775785494e-124
7.784927700405999e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405282388378e-14,1.0090747018278709e-16,2.6779919807809217e-25,1.0090747018594171e-16,1.9356418769769677e-25,5.8087274743760132e-26,4.0477872495920555e-49,2.5778250804577297e-43,9.7318372857580771e-52,4.3512590910048146e-75,6.7914227125305195e-78,1.7735417112190709e-84,1.689201639319806e-86,3.8074517448776875e-87,9.8279430828833543e-58,4.081870407045592e-59,3.5445310861664195e-83,1.9857981008245206e-76,3.1595967399692593e-73,1.0524970882882729e-84,1.3411903574129038e-98,1.2050593457985244e-160,1.1512255209731358e-134,2.50033392003008e-141,1.2198406623693785e-121
1.562429545466099e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.2877897314462234e-14,2.0252058727669589e-16,1.0768087972283248e-24,2.025205872893805e-16,7.7831308634804653e-25,2.3356637724321091e-25,6.5371870151439794e-48,2.0748583560754448e-42,1.5672827336503905e-50,2.8132074525128189e-73,4.4083702505965727e-76,2.3025484084902922e-82,2.1931934941650075e-84,4.9434467710042634e-85,3.1754097950929274e-56,1.3188528890412767e-57,4.5835656735819739e-81,1.2834224788702616e-74,2.0420469990198725e-71,1.3605626429713566e-82,3.4688098105371885e-96,1.0100518237246679e-156,2.4021373621211208e-131,1.0434391885412792e-137,1.2717005069581017e-118
3.1303030963170976e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.2597488137698132e-13,4.0574682226676259e-16,4.3184848913347185e-24,4.0574682231763357e-16,3.121383592332965e-24,9.3670564002404053e-25,1.0508336541461325e-46,1.6649439079791187e-41,2.5158369809856153e-49,1.8095981820604629e-71,2.8413100888658809e-74,2.9678866557562902e-80,2.8272985423580221e-82,6.3727162545996262e-83,1.0210334746777864e-54,4.2406901938286414e-56,5.8969556084218382e-79,8.2541879306493766e-73,1.3133167886286891e-69,1.7501259222056322e-80,8.9257068538551738e-94,8.3693967270103764e-153,4.9655918629346547e-128,4.3139074317304526e-134,1.313137572665282e-115
6.266050198019094e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884949550471e-13,8.1219929545589208e-16,1.7296464662473154e-23,8.1219929565964164e-16,1.2501815476102719e-23,3.751708408100361e-24,1.6852509365420665e-45,1.3339823836964497e-40,4.0319025930583762e-48,1.1610789655138961e-69,1.8248485518877358e-72,3.8114064178634241e-78,3.6318002553057175e-80,8.1860589212725356e-81,3.2751726388059722e-53,1.3602876124862068e-54,7.5673623898243167e-77,5.2956256120792059e-71,8.4257878608078274e-68,2.2456866342783055e-78,2.2908316245991546e-91,6.8953366127318883e-149,1.0216910835753843e-124,1.7752067197020402e-130,1.3486865911775777e-112
